local_date,latitude,longitude,daytime_sampled_max_vpd_kpa
1940-02-12,-33.25,150.25,1.2748723
1940-02-12,-33.25,150.5,1.1067685
1940-02-13,-33.25,150.0,1.4414673
1940-02-13,-33.25,150.25,1.2210537
1940-02-13,-33.25,150.5,1.2407521
1940-02-14,-33.25,150.0,1.6929544
1940-02-14,-33.25,150.25,1.583568
1940-02-14,-33.25,150.5,1.6275206
1940-02-15,-33.25,150.0,3.5451558
1940-02-15,-33.25,150.25,3.2162676
1940-02-15,-33.25,150.5,3.127788
1940-02-16,-33.25,150.0,4.470515
1940-02-16,-33.25,150.25,4.4987583
1940-02-16,-33.25,150.5,4.5085306
1940-02-17,-33.25,150.0,3.6440897
1940-02-17,-33.25,150.25,3.0255554
1940-02-17,-33.25,150.5,2.5524945
1940-02-18,-33.25,150.0,1.819537
1940-02-18,-33.25,150.25,1.5756098
1940-02-18,-33.25,150.5,1.4259754
1940-02-19,-33.25,150.0,3.8618999
1940-02-19,-33.25,150.25,3.8917158
1940-02-19,-33.25,150.5,4.049364
1940-02-20,-33.25,150.0,3.7835696
1940-02-20,-33.25,150.25,3.4264596
1940-02-20,-33.25,150.5,3.0721629
1940-02-21,-33.25,150.0,0.73865855
1940-02-21,-33.25,150.25,0.53439665
1940-02-21,-33.25,150.5,0.4820168
1940-02-22,-33.25,150.0,1.2574881
1940-02-22,-33.25,150.25,1.1267209
1940-02-22,-33.25,150.5,1.1669313
1940-02-23,-33.25,150.0,1.6821306
1940-02-23,-33.25,150.25,1.5353838
1940-02-23,-33.25,150.5,1.521823
1940-02-24,-33.25,150.0,1.8627152
1940-02-24,-33.25,150.25,1.7228705
1940-02-24,-33.25,150.5,1.7148058
1940-02-25,-33.25,150.0,3.1001933
1940-02-25,-33.25,150.25,2.6870823
1940-02-25,-33.25,150.5,2.4869113
1940-02-26,-33.25,150.0,1.8998921
1940-02-26,-33.25,150.25,1.3907127
1940-02-26,-33.25,150.5,1.1390302
1940-02-27,-33.25,150.0,3.2546263
1940-02-27,-33.25,150.25,3.3571827
1940-02-27,-33.25,150.5,3.7247152
1940-02-28,-33.25,150.0,1.3822339
1940-02-28,-33.25,150.25,1.0912814
1940-02-28,-33.25,150.5,0.9536271
1940-02-29,-33.25,150.0,3.816857
1940-02-29,-33.25,150.25,3.7668054
1940-02-29,-33.25,150.5,3.9208002
1940-03-01,-33.25,150.0,2.9337587
1940-03-01,-33.25,150.25,2.55139
1940-03-01,-33.25,150.5,2.3673348
1940-03-02,-33.25,150.0,3.3344772
1940-03-02,-33.25,150.25,3.3780248
1940-03-02,-33.25,150.5,3.2559295
1940-03-03,-33.25,150.0,1.0378747
1940-03-03,-33.25,150.25,0.69821465
1940-03-03,-33.25,150.5,0.6125963
1940-03-04,-33.25,150.0,1.0968425
1940-03-04,-33.25,150.25,0.889686
1940-03-04,-33.25,150.5,0.87912965
1940-03-05,-33.25,150.0,1.6484339
1940-03-05,-33.25,150.25,1.304796
1940-03-05,-33.25,150.5,1.2024553
1940-03-06,-33.25,150.0,1.5137734
1940-03-06,-33.25,150.25,1.3787912
1940-03-06,-33.25,150.5,1.2922733
1940-03-07,-33.25,150.0,1.3893645
1940-03-07,-33.25,150.25,1.1540341
1940-03-07,-33.25,150.5,1.0935425
1940-03-08,-33.25,150.0,2.1717927
1940-03-08,-33.25,150.25,1.8587471
1940-03-08,-33.25,150.5,1.6536152
1940-03-09,-33.25,150.0,2.3000517
1940-03-09,-33.25,150.25,2.099432
1940-03-09,-33.25,150.5,1.9826267
1940-03-10,-33.25,150.0,0.9103834
1940-03-10,-33.25,150.25,0.6807573
1940-03-10,-33.25,150.5,0.6866753
1940-03-11,-33.25,150.0,0.753317
1940-03-11,-33.25,150.25,0.5447552
1940-03-11,-33.25,150.5,0.4809687
1940-03-12,-33.25,150.0,0.7910025
1940-03-12,-33.25,150.25,0.60856795
1940-03-12,-33.25,150.5,0.6454841
1940-03-13,-33.25,150.0,1.3647232
1940-03-13,-33.25,150.25,1.3100303
1940-03-13,-33.25,150.5,1.3890572
1940-03-14,-33.25,150.0,2.3018174
1940-03-14,-33.25,150.25,2.2994468
1940-03-14,-33.25,150.5,2.4602683
1940-03-15,-33.25,150.0,1.354761
1940-03-15,-33.25,150.25,1.0834543
1940-03-15,-33.25,150.5,0.9741225
1940-03-16,-33.25,150.0,1.3718971
1940-03-16,-33.25,150.25,1.1356279
1940-03-16,-33.25,150.5,0.98606133
1940-03-17,-33.25,150.0,0.5458143
1940-03-17,-33.25,150.25,0.28634977
1940-03-17,-33.25,150.5,0.18258226
1940-03-18,-33.25,150.0,1.5212587
1940-03-18,-33.25,150.25,1.2635794
1940-03-18,-33.25,150.5,1.1898694
1940-03-19,-33.25,150.0,2.3556225
1940-03-19,-33.25,150.25,2.1215184
1940-03-19,-33.25,150.5,2.0183747
1940-03-20,-33.25,150.0,2.375719
1940-03-20,-33.25,150.25,2.425633
1940-03-20,-33.25,150.5,2.6985545
1940-03-21,-33.25,150.0,1.724124
1940-03-21,-33.25,150.25,1.4472328
1940-03-21,-33.25,150.5,1.3846717
1940-03-22,-33.25,150.0,1.3802373
1940-03-22,-33.25,150.25,1.2136493
1940-03-22,-33.25,150.5,1.2040166
1940-03-23,-33.25,150.0,1.6862655
1940-03-23,-33.25,150.25,1.4975951
1940-03-23,-33.25,150.5,1.4947815
1940-03-24,-33.25,150.0,2.2129028
1940-03-24,-33.25,150.25,2.0455554
1940-03-24,-33.25,150.5,2.089779
1940-03-25,-33.25,150.0,2.2497451
1940-03-25,-33.25,150.25,1.966373
1940-03-25,-33.25,150.5,1.9225072
1940-03-26,-33.25,150.0,2.5514746
1940-03-26,-33.25,150.25,1.9823741
1940-03-26,-33.25,150.5,1.5986958
1940-03-27,-33.25,150.0,2.8761797
1940-03-27,-33.25,150.25,2.8761144
1940-03-27,-33.25,150.5,3.1338353
1940-03-28,-33.25,150.0,3.0507078
1940-03-28,-33.25,150.25,3.0899515
1940-03-28,-33.25,150.5,3.3530452
1940-03-29,-33.25,150.0,2.6847944
1940-03-29,-33.25,150.25,2.0036776
1940-03-29,-33.25,150.5,1.5463904
1940-03-30,-33.25,150.0,3.6979163
1940-03-30,-33.25,150.25,3.7104273
1940-03-30,-33.25,150.5,3.879261
1940-03-31,-33.25,150.0,3.8908653
1940-03-31,-33.25,150.25,3.7510548
1940-03-31,-33.25,150.5,3.7453554
1940-04-01,-33.25,150.0,2.7948112
1940-04-01,-33.25,150.25,2.2514205
1940-04-01,-33.25,150.5,1.935437
1940-04-02,-33.25,150.0,2.2467465
1940-04-02,-33.25,150.25,2.0297012
1940-04-02,-33.25,150.5,1.8911926
1940-04-03,-33.25,150.0,1.4737768
1940-04-03,-33.25,150.25,1.0998824
1940-04-03,-33.25,150.5,0.9205364
1940-04-04,-33.25,150.0,2.3029404
1940-04-04,-33.25,150.25,2.120387
1940-04-04,-33.25,150.5,2.0890207
1940-04-05,-33.25,150.0,1.0787301
1940-04-05,-33.25,150.25,0.8919703
1940-04-05,-33.25,150.5,0.7709143
1940-04-06,-33.25,150.0,2.4952466
1940-04-06,-33.25,150.25,2.4859986
1940-04-06,-33.25,150.5,2.6750054
1940-04-07,-33.25,150.0,2.7761903
1940-04-07,-33.25,150.25,2.8967319
1940-04-07,-33.25,150.5,3.1929731
1940-04-08,-33.25,150.0,3.2860703
1940-04-08,-33.25,150.25,3.216729
1940-04-08,-33.25,150.5,3.5220318
1940-04-09,-33.25,150.0,2.6622431
1940-04-09,-33.25,150.25,2.3912315
1940-04-09,-33.25,150.5,2.0816379
1940-04-10,-33.25,150.0,1.9373373
1940-04-10,-33.25,150.25,1.6726223
1940-04-10,-33.25,150.5,1.468007
1940-04-11,-33.25,150.0,2.405299
1940-04-11,-33.25,150.25,2.4463139
1940-04-11,-33.25,150.5,2.7721455
