date,year,month,dmi_labelled_index_value
1/10/1963,1963,10,-0.4
1/11/1963,1963,11,-0.35
1/12/1963,1963,12,-0.42
1/01/1964,1964,1,-0.63
1/02/1964,1964,2,-0.36
1/03/1964,1964,3,-0.08
1/04/1964,1964,4,0.31
1/05/1964,1964,5,-0.24
1/06/1964,1964,6,-1.08
1/07/1964,1964,7,-1.32
1/08/1964,1964,8,-0.91
1/09/1964,1964,9,-0.48
1/10/1964,1964,10,-0.32
1/11/1964,1964,11,-0.3
1/12/1964,1964,12,-0.42
1/01/1965,1965,1,-0.69
1/02/1965,1965,2,-0.43
1/03/1965,1965,3,-0.09
1/04/1965,1965,4,0.33
1/05/1965,1965,5,-0.27
1/06/1965,1965,6,-1.08
1/07/1965,1965,7,-1.37
1/08/1965,1965,8,-0.95
1/09/1965,1965,9,-0.57
1/10/1965,1965,10,-0.4
1/11/1965,1965,11,-0.31
1/12/1965,1965,12,-0.41
1/01/1966,1966,1,-0.68
1/02/1966,1966,2,-0.45
1/03/1966,1966,3,-0.07
1/04/1966,1966,4,0.33
1/05/1966,1966,5,-0.26
1/06/1966,1966,6,-1.09
1/07/1966,1966,7,-1.37
1/08/1966,1966,8,-0.91
1/09/1966,1966,9,-0.54
1/10/1966,1966,10,-0.34
1/11/1966,1966,11,-0.28
1/12/1966,1966,12,-0.41
1/01/1967,1967,1,-0.65
1/02/1967,1967,2,-0.45
1/03/1967,1967,3,-0.09
1/04/1967,1967,4,0.33
1/05/1967,1967,5,-0.28
1/06/1967,1967,6,-1.04
1/07/1967,1967,7,-1.32
1/08/1967,1967,8,-0.85
1/09/1967,1967,9,-0.52
1/10/1967,1967,10,-0.38
1/11/1967,1967,11,-0.31
1/12/1967,1967,12,-0.43
1/01/1968,1968,1,-0.7
1/02/1968,1968,2,-0.48
1/03/1968,1968,3,-0.07
1/04/1968,1968,4,0.33
1/05/1968,1968,5,-0.23
1/06/1968,1968,6,-0.99
1/07/1968,1968,7,-1.23
1/08/1968,1968,8,-0.78
1/09/1968,1968,9,-0.4
