year,rainfall_derived_dryness_mm,annual_vpd_kpa,annual_ffdi_index,blue_mountains_lga_population_persons,chara_mean_raw_mm2_cm2_yr,raman_mean_raw_kw_m2
1941,780.2166666666666,1.1204057097643836,,,15.257825453055554,43.93676606
1942,-23.78333333333353,1.057278258769863,,,15.257825453055554,
1943,9.61666666666656,1.3944945106136986,,,20.637886895055555,
1944,892.7166666666666,1.377947576513661,,,20.637886895055555,
1945,317.01666666666665,1.2777189424054796,,,20.637886895055555,47.76339818
1946,528.3166666666666,1.497354337120548,,,17.87090549088889,
1947,-48.083333333333485,1.088375396739726,,4919.0,20.54025397838889,
1948,291.01666666666665,1.2298106801502733,,,20.54025397838889,41.8550558725
1949,-472.38333333333344,1.1853900707315068,,,22.75375364305556,
1950,-1272.0833333333333,0.9739563322547944,3.44366,,20.89202197290476,
1951,-265.2833333333336,1.2600247221369862,6.40856,,20.89202197290476,
1952,-380.6833333333334,1.326694251636612,5.98823,,12.596280018619046,42.59121022
1953,610.3166666666666,1.4135399744657533,6.51875,,14.839663217285716,41.52475795
1954,180.61666666666656,1.3066769725424658,5.18119,,17.848582427107143,47.06679072
1955,-79.48333333333335,1.2064631658739726,4.45205,,15.439614437678571,43.37999432
1956,-549.8833333333334,1.1055936271885247,4.95972,,18.391143688821423,39.3997678675
1957,731.4166666666665,1.695371366339726,10.0051,,18.391143688821423,
1958,194.71666666666647,1.2124494930246577,5.43524,,18.391143688821423,47.93875118
1959,-123.38333333333344,0.9967858464219178,4.47743,,17.554156607535713,45.50369311
1960,310.51666666666665,1.1330079197185794,5.23056,,14.129353171678572,
1961,-208.98333333333332,1.0913093947178083,4.74703,,9.907392312821427,45.088367535
1962,-31.183333333333398,1.0295488249178082,4.9179,,32.92077341601587,
1963,-643.6833333333336,0.9611588197232876,4.05378,,32.92077341601587,
1964,313.3166666666666,1.1905981921885245,6.98302,,32.92077341601587,44.46461133
1965,305.4166666666665,1.3594348585972604,8.73427,,35.360171037873016,31.57736811
1966,515.9166666666665,1.1783570078246577,6.01416,16893.0,35.360171037873016,
1967,142.51666666666665,1.1213446363013695,5.92281,,35.360171037873016,
1968,685.4166666666665,1.2232570728661205,7.289,,35.360171037873016,
1969,-107.1833333333334,1.1056507158027398,4.40573,,35.360171037873016,47.64713307
1970,258.8166666666666,1.0643316615452054,5.2002,,34.17075000315873,
1971,93.21666666666648,1.0319822768136986,5.46687,18438.0,17.441548142373016,41.39661914
1972,-285.7833333333336,1.087911313838798,5.41389,,73.28196310894444,
1973,-262.38333333333344,1.0102803800273972,4.08007,,73.28196310894444,
1974,-539.2833333333335,0.9325060617671233,4.16952,,73.28196310894444,40.45621838
1975,-96.88333333333344,1.0309657944958903,5.38139,,81.26212266023016,
1976,-113.1833333333334,1.0258688044180326,4.67499,,81.26212266023016,
1977,249.8166666666666,1.406670940060274,7.54096,,81.26212266023016,
1978,-578.1833333333336,1.1215860539953424,4.12551,,81.26212266023016,45.72452562
1979,761.2166666666666,1.469045949232877,7.89667,,83.24732985665874,
1980,648.4166666666665,1.6079603640191256,9.42264,,87.47030611221429,
1981,-238.48333333333332,1.2503208179452054,5.3395,,90.98634130221429,43.78085464
1982,585.4166666666665,1.4495591763863014,8.064,,90.98634130221429,
1983,161.41666666666652,1.233190211369863,5.85053,,90.98634130221429,43.87620065
1984,-277.9833333333333,1.1053171845710383,4.22367,,89.1744174765,
1985,-87.38333333333344,1.2044210403123288,5.96906,,89.1744174765,
1986,-110.98333333333336,1.2279020396849316,6.33161,63866.0,87.93795359607142,47.05472126
1987,-167.78333333333353,1.1522274548767124,5.39537,,91.35797234607142,45.290118485
1988,-371.98333333333335,1.1504819024273223,4.9844,,65.74870384607142,44.73212468
1989,-252.1833333333334,1.127702634339726,4.63526,,64.96517175107142,
1990,-347.38333333333344,1.210245404380822,5.13036,,60.312572742976194,27.99485721
1991,331.51666666666665,1.407726911279452,7.99383,69420.0,59.97849546140476,
1992,,1.043139366909836,4.24269,,59.97849546140476,
1993,746.2166666666666,1.1981252747337534,5.43028,,59.97849546140476,45.23229603
1994,709.0166666666665,1.460847309728767,8.87256,,60.47108944783333,
1995,-32.88333333333344,1.1602000645049315,4.99909,,59.97239224247619,
1996,223.61666666666656,1.1884861166557377,5.49447,72506.0,59.414148069333336,53.28241169
1997,539.4166666666665,1.4087189381884933,7.55265,,58.98101316347619,
1998,-96.38333333333344,1.2685095353178082,5.85502,,58.98101316347619,40.6729695025
1999,-102.28333333333352,1.092613626589041,4.53269,,56.59102154371429,
2000,230.9166666666665,1.117916472749989,5.42535,,86.42774158085714,42.35380185
2001,270.61666666666656,1.2700382859369863,6.58699,73675.0,86.56307311814285,
2002,491.8166666666666,1.440897732760274,9.30792,,86.56307311814285,43.82800153
2003,301.51666666666665,1.2038990287041096,6.69339,,108.09205618957142,38.1474026075
2004,529.8166666666666,1.407591302204918,8.27352,,108.22356752957144,41.13579847
2005,192.21666666666647,1.3455200971780823,6.48114,,101.00053328671429,
2006,529.5166666666665,1.4222589253479452,9.6475,74067.0,101.00053328671429,45.011736005
2007,-451.78333333333353,1.2059178317123287,5.59992,,75.034341935,31.523659345
2008,170.01666666666665,1.0692207450737703,4.8375,,44.90217986928571,45.53925209
2009,69.41666666666652,1.3223382079890411,7.90129,,57.92666943285714,
2010,-207.58333333333348,1.0410628967726028,4.37616,,57.92666943285714,42.978556965
2011,,1.0535181427863014,4.71907,75942.0,54.90184554571429,46.66089104
2012,72.8166666666666,1.178221314751366,5.73085,,147.9183249767143,39.7853322
2013,-62.083333333333485,1.380688764767123,8.24566,,148.80184778814285,43.47511617
2014,,1.3409985883726028,7.17167,,147.0699035717143,
2015,11.416666666666517,1.168049059980822,5.44284,,147.0699035717143,46.99953512
2016,328.21666666666647,1.2523914546709565,6.83722,,127.97515805314283,28.84409583
2017,244.61666666666656,1.2962261423780823,8.34229,,123.7514288502857,50.71608324
2018,411.01666666666665,1.3968531659232877,10.1948,,137.62615623242857,40.97653855
2019,,1.5345014110246575,10.9557,78894.0,124.3375789152857,42.83224925333334
2020,-505.0833333333335,1.153088904465574,5.67468,78855.0,91.58885298714286,37.32859451
2021,-328.1833333333334,1.0849049944951508,4.71849,78199.0,98.85323485714284,39.752274588
2022,-1099.1833333333336,0.8947972768712329,3.53817,,,
