year,rainfall_derived_dryness_mm,annual_vpd_kpa,annual_ffdi_index,blue_mountains_lga_population_persons,chara_mean_raw_mm2_cm2_yr,raman_mean_raw_kw_m2,annual_mean_nino34_sst_anomaly_c,annual_mean_southern_oscillation_index,annual_mean_dmi_ipo_index,annual_mean_daily_max_vpd_kpa,annual_mean_vpd_smooth_365d_centered_kpa,annual_mean_vpd_smooth_1825d_centered_kpa
1900,-10.88333333333344,,,,21.92031682885417,47.970321715,0.7416666666666667,-0.6483333333333333,,,,
1901,559.2166666666666,,,,13.971294430666669,,-0.12083333333333335,0.0658333333333333,,,,
1902,657.1166666666666,,,,13.971294430666669,,0.7358333333333333,0.09833333333333331,,,,
1903,135.01666666666665,,,,13.971294430666669,,-0.0008333333333333156,0.47,,,,
1904,110.91666666666652,,,,12.596581370944444,,-0.010833333333333325,0.3925,,,,
1905,439.3166666666666,,,,14.80818063777778,46.12518606,0.89,-1.7858333333333334,,,,
1906,331.21666666666647,,,,22.794871141111116,43.69227927,-0.03333333333333333,0.20583333333333334,,,,
1907,579.1166666666666,,,,29.56209647573016,42.69901286,-0.3758333333333333,-0.205,,,,
1908,235.4166666666665,,,,29.91637850523016,,-0.5108333333333334,0.2841666666666666,,,,
1909,445.51666666666665,,,,29.91637850523016,,-0.8741666666666666,0.2875,,,,
1910,218.21666666666647,,,,37.45595343717461,,-0.9283333333333333,1.2583333333333333,,,,
1911,-175.38333333333344,,,9661.0,37.45595343717461,,-0.2541666666666667,-0.6366666666666667,,,,
1912,98.3166666666666,,,,37.909438712174605,,0.21166666666666667,-0.9758333333333334,,,,
1913,-314.0833333333335,,,,37.909438712174605,43.28864779,0.035,-0.6775000000000001,,,,
1914,-123.28333333333352,,,,21.858606164984128,,0.49750000000000005,-0.9258333333333333,,,,
1915,749.7166666666666,,,,21.858606164984128,,0.355,0.16583333333333333,,,,
1916,99.8166666666666,,,,19.656968795539683,44.40958699,-0.93,0.6375000000000001,,,,
