date,year,month,southern_oscillation_index
1936-06-01,1936,6,-0.37
1936-07-01,1936,7,0.43
1936-08-01,1936,8,-1.0
1936-09-01,1936,9,0.23
1936-10-01,1936,10,-0.11
1936-11-01,1936,11,-1.55
1936-12-01,1936,12,-0.04
1937-01-01,1937,1,0.95
1937-02-01,1937,2,-0.59
1937-03-01,1937,3,0.55
1937-04-01,1937,4,0.18
1937-05-01,1937,5,0.19
1937-06-01,1937,6,0.22
1937-07-01,1937,7,-0.53
1937-08-01,1937,8,0.2
1937-09-01,1937,9,0.04
1937-10-01,1937,10,-0.39
1937-11-01,1937,11,-0.46
1937-12-01,1937,12,0.64
1938-01-01,1938,1,0.75
1938-02-01,1938,2,0.21
1938-03-01,1938,3,-0.55
1938-04-01,1938,4,0.39
1938-05-01,1938,5,1.18
1938-06-01,1938,6,2.01
1938-07-01,1938,7,1.87
1938-08-01,1938,8,1.24
1938-09-01,1938,9,0.69
1938-10-01,1938,10,1.37
1938-11-01,1938,11,-0.07
1938-12-01,1938,12,1.42
1939-01-01,1939,1,1.74
1939-02-01,1939,2,0.66
1939-03-01,1939,3,1.14
1939-04-01,1939,4,1.13
1939-05-01,1939,5,-0.1
1939-06-01,1939,6,-0.37
1939-07-01,1939,7,0.84
1939-08-01,1939,8,-0.11
1939-09-01,1939,9,-0.95
1939-10-01,1939,10,-1.71
1939-11-01,1939,11,-0.96
1939-12-01,1939,12,-1.07
1940-01-01,1940,1,-0.06
1940-02-01,1940,2,-0.56
1940-03-01,1940,3,-1.34
1940-04-01,1940,4,-0.94
1940-05-01,1940,5,-1.39
1940-06-01,1940,6,-2.49
1940-07-01,1940,7,-1.5
1940-08-01,1940,8,-2.11
1940-09-01,1940,9,-1.95
1940-10-01,1940,10,-1.8
1940-11-01,1940,11,-0.77
1940-12-01,1940,12,-3.38
1941-01-01,1941,1,-1.13
1941-02-01,1941,2,-1.6
1941-03-01,1941,3,-1.33
1941-04-01,1941,4,-1.19
1941-05-01,1941,5,-0.75
1941-06-01,1941,6,-1.89
1941-07-01,1941,7,-2.0
1941-08-01,1941,8,-2.2
1941-09-01,1941,9,-0.83
1941-10-01,1941,10,-2.29
1941-11-01,1941,11,-1.09
1941-12-01,1941,12,-1.07
1942-01-01,1942,1,-1.51
1942-02-01,1942,2,-0.51
1942-03-01,1942,3,-0.8
1942-04-01,1942,4,-0.52
1942-05-01,1942,5,0.25
1942-06-01,1942,6,0.8
1942-07-01,1942,7,-0.08
1942-08-01,1942,8,0.3
1942-09-01,1942,9,0.82
1942-10-01,1942,10,0.7
1942-11-01,1942,11,-0.64
1942-12-01,1942,12,1.42
1943-01-01,1943,1,0.88
1943-02-01,1943,2,0.91
1943-03-01,1943,3,0.29
1943-04-01,1943,4,1.59
1943-05-01,1943,5,0.25
1943-06-01,1943,6,-1.13
1943-07-01,1943,7,0.3
1943-08-01,1943,8,0.69
1943-09-01,1943,9,0.53
1943-10-01,1943,10,0.79
1943-11-01,1943,11,0.22
1943-12-01,1943,12,-1.06
1944-01-01,1944,1,-0.95
1944-02-01,1944,2,0.3
1944-03-01,1944,3,0.46
1944-04-01,1944,4,-0.54
1944-05-01,1944,5,0.02
1944-06-01,1944,6,-0.61
1944-07-01,1944,7,-0.85
1944-08-01,1944,8,0.13
1944-09-01,1944,9,0.22
1944-10-01,1944,10,-1.03
1944-11-01,1944,11,-0.84
1944-12-01,1944,12,0.36
1945-01-01,1945,1,0.43
1945-02-01,1945,2,0.53
1945-03-01,1945,3,1.33
1945-04-01,1945,4,-0.73
1945-05-01,1945,5,0.02
1945-06-01,1945,6,0.8
1945-07-01,1945,7,0.39
1945-08-01,1945,8,1.06
1945-09-01,1945,9,0.8
1945-10-01,1945,10,0.21
1945-11-01,1945,11,-0.45
1945-12-01,1945,12,0.63
1946-01-01,1946,1,-0.32
1946-02-01,1946,2,0.29
1946-03-01,1946,3,-0.38
1946-04-01,1946,4,-1.03
1946-05-01,1946,5,-1.19
1946-06-01,1946,6,-1.32
1946-07-01,1946,7,-0.99
1946-08-01,1946,8,-0.64
1946-09-01,1946,9,-1.58
1946-10-01,1946,10,-1.38
1946-11-01,1946,11,-0.25
1946-12-01,1946,12,-0.71
1947-01-01,1947,1,-0.63
1947-02-01,1947,2,-0.56
1947-03-01,1947,3,1.13
1947-04-01,1947,4,-0.56
1947-05-01,1947,5,-1.24
1947-06-01,1947,6,0.16
1947-07-01,1947,7,0.98
1947-08-01,1947,8,0.66
1947-09-01,1947,9,1.1
1947-10-01,1947,10,-0.35
1947-11-01,1947,11,0.75
1947-12-01,1947,12,0.47
1948-01-01,1948,1,-0.43
1948-02-01,1948,2,-0.41
1948-03-01,1948,3,-0.6
1948-04-01,1948,4,0.26
1948-05-01,1948,5,0.35
1948-06-01,1948,6,-0.76
1948-07-01,1948,7,0.1
1948-08-01,1948,8,-0.55
1948-09-01,1948,9,-0.76
1948-10-01,1948,10,0.54
1948-11-01,1948,11,0.19
1948-12-01,1948,12,-0.72
1949-01-01,1949,1,-0.86
1949-02-01,1949,2,0.05
1949-03-01,1949,3,0.49
1949-04-01,1949,4,0.28
1949-05-01,1949,5,-0.68
1949-06-01,1949,6,-1.6
1949-07-01,1949,7,-0.15
1949-08-01,1949,8,-0.64
1949-09-01,1949,9,0.17
1949-10-01,1949,10,0.38
1949-11-01,1949,11,-0.77
1949-12-01,1949,12,0.77
1950-01-01,1950,1,0.54
1950-02-01,1950,2,1.58
1950-03-01,1950,3,1.79
1950-04-01,1950,4,1.67
1950-05-01,1950,5,0.55
1950-06-01,1950,6,3.06
1950-07-01,1950,7,2.14
1950-08-01,1950,8,1.14
1950-09-01,1950,9,0.63
1950-10-01,1950,10,1.68
1950-11-01,1950,11,0.89
1950-12-01,1950,12,2.46
1951-01-01,1951,1,1.32
1951-02-01,1951,2,0.47
1951-03-01,1951,3,-0.71
1951-04-01,1951,4,-1.03
1951-05-01,1951,5,-1.29
1951-06-01,1951,6,-0.52
1951-07-01,1951,7,-1.33
1951-08-01,1951,8,-0.75
1951-09-01,1951,9,-1.17
1951-10-01,1951,10,-1.44
1951-11-01,1951,11,-0.98
1951-12-01,1951,12,-0.9
1952-01-01,1952,1,-0.92
1952-02-01,1952,2,-0.83
1952-03-01,1952,3,-0.02
1952-04-01,1952,4,-0.73
1952-05-01,1952,5,0.67
1952-06-01,1952,6,0.78
1952-07-01,1952,7,0.51
1952-08-01,1952,8,-0.38
1952-09-01,1952,9,-0.24
1952-10-01,1952,10,0.12
1952-11-01,1952,11,-0.22
1952-12-01,1952,12,-1.4
1953-01-01,1953,1,0.12
1953-02-01,1953,2,-0.72
1953-03-01,1953,3,-0.79
1953-04-01,1953,4,-0.18
1953-05-01,1953,5,-2.72
1953-06-01,1953,6,-0.47
1953-07-01,1953,7,-0.06
1953-08-01,1953,8,-1.89
1953-09-01,1953,9,-1.35
1953-10-01,1953,10,-0.18
1953-11-01,1953,11,-0.36
1953-12-01,1953,12,-0.61
1954-01-01,1954,1,0.57
1954-02-01,1954,2,-0.52
1954-03-01,1954,3,-0.31
1954-04-01,1954,4,0.41
1954-05-01,1954,5,0.15
1954-06-01,1954,6,-0.49
1954-07-01,1954,7,0.36
1954-08-01,1954,8,0.9
1954-09-01,1954,9,0.17
1954-10-01,1954,10,0.09
1954-11-01,1954,11,0.16
1954-12-01,1954,12,1.31
1955-01-01,1955,1,-0.68
1955-02-01,1955,2,1.3
1955-03-01,1955,3,0.13
1955-04-01,1955,4,-0.81
1955-05-01,1955,5,0.88
1955-06-01,1955,6,1.63
1955-07-01,1955,7,1.8
1955-08-01,1955,8,1.38
1955-09-01,1955,9,1.4
1955-10-01,1955,10,1.51
1955-11-01,1955,11,1.38
1955-12-01,1955,12,0.91
1956-01-01,1956,1,1.16
1956-02-01,1956,2,1.1
1956-03-01,1956,3,0.89
1956-04-01,1956,4,1.06
1956-05-01,1956,5,1.44
1956-06-01,1956,6,1.26
1956-07-01,1956,7,1.19
1956-08-01,1956,8,1.05
1956-09-01,1956,9,0.06
1956-10-01,1956,10,1.92
1956-11-01,1956,11,0.11
1956-12-01,1956,12,0.99
1957-01-01,1957,1,0.43
1957-02-01,1957,2,-0.36
1957-03-01,1957,3,-0.37
1957-04-01,1957,4,0.05
1957-05-01,1957,5,-1.18
1957-06-01,1957,6,-0.37
1957-07-01,1957,7,0.18
1957-08-01,1957,8,-1.08
1957-09-01,1957,9,-1.01
1957-10-01,1957,10,-0.09
1957-11-01,1957,11,-1.23
1957-12-01,1957,12,-0.44
1958-01-01,1958,1,-1.89
1958-02-01,1958,2,-0.78
1958-03-01,1958,3,-0.32
1958-04-01,1958,4,0.03
1958-05-01,1958,5,-1.39
1958-06-01,1958,6,-0.27
1958-07-01,1958,7,0.23
1958-08-01,1958,8,0.72
1958-09-01,1958,9,-0.34
1958-10-01,1958,10,-0.56
1958-11-01,1958,11,-0.61
1958-12-01,1958,12,-0.84
1959-01-01,1959,1,-0.94
1959-02-01,1959,2,-1.5
1959-03-01,1959,3,0.77
1959-04-01,1959,4,0.35
1959-05-01,1959,5,0.14
1959-06-01,1959,6,-0.96
1959-07-01,1959,7,-0.47
1959-08-01,1959,8,-0.68
1959-09-01,1959,9,-0.01
1959-10-01,1959,10,0.34
1959-11-01,1959,11,0.9
1959-12-01,1959,12,0.81
1960-01-01,1960,1,-0.05
1960-02-01,1960,2,-0.25
1960-03-01,1960,3,0.47
1960-04-01,1960,4,0.79
1960-05-01,1960,5,0.3
1960-06-01,1960,6,-0.47
1960-07-01,1960,7,0.5
1960-08-01,1960,8,0.53
1960-09-01,1960,9,0.65
1960-10-01,1960,10,-0.2
1960-11-01,1960,11,0.6
1960-12-01,1960,12,0.63
1961-01-01,1961,1,-0.43
1961-02-01,1961,2,0.58
1961-03-01,1961,3,-2.47
1961-04-01,1961,4,1.15
1961-05-01,1961,5,0.18
1961-06-01,1961,6,-0.53
1961-07-01,1961,7,0.18
1961-08-01,1961,8,-0.16
1961-09-01,1961,9,0.11
1961-10-01,1961,10,-0.73
1961-11-01,1961,11,0.68
1961-12-01,1961,12,1.31
1962-01-01,1962,1,1.72
1962-02-01,1962,2,-0.41
1962-03-01,1962,3,-0.32
1962-04-01,1962,4,0.3
1962-05-01,1962,5,1.1
1962-06-01,1962,6,0.37
1962-07-01,1962,7,-0.04
1962-08-01,1962,8,0.26
1962-09-01,1962,9,0.53
1962-10-01,1962,10,0.95
1962-11-01,1962,11,0.27
1962-12-01,1962,12,-0.1
1963-01-01,1963,1,0.8
1963-02-01,1963,2,0.26
1963-03-01,1963,3,0.66
1963-04-01,1963,4,0.51
1963-05-01,1963,5,0.14
1963-06-01,1963,6,-1.3
1963-07-01,1963,7,-0.13
1963-08-01,1963,8,-0.43
1963-09-01,1963,9,-0.6
1963-10-01,1963,10,-1.46
1963-11-01,1963,11,-0.93
1963-12-01,1963,12,-1.35
1964-01-01,1964,1,-0.53
1964-02-01,1964,2,-0.13
1964-03-01,1964,3,0.71
1964-04-01,1964,4,1.78
1964-05-01,1964,5,-0.02
1964-06-01,1964,6,0.72
1964-07-01,1964,7,0.62
1964-08-01,1964,8,1.32
1964-09-01,1964,9,1.29
1964-10-01,1964,10,1.26
1964-11-01,1964,11,-0.06
1964-12-01,1964,12,-0.49
1965-01-01,1965,1,-0.52
1965-02-01,1965,2,0.01
1965-03-01,1965,3,0.24
1965-04-01,1965,4,-1.34
1965-05-01,1965,5,-0.03
1965-06-01,1965,6,-1.63
1965-07-01,1965,7,-2.32
1965-08-01,1965,8,-1.37
1965-09-01,1965,9,-1.41
1965-10-01,1965,10,-1.22
1965-11-01,1965,11,-1.86
1965-12-01,1965,12,0.02
1966-01-01,1966,1,-1.36
1966-02-01,1966,2,-0.54
1966-03-01,1966,3,-1.75
1966-04-01,1966,4,-0.9
1966-05-01,1966,5,-0.71
1966-06-01,1966,6,0.14
1966-07-01,1966,7,-0.15
1966-08-01,1966,8,0.19
1966-09-01,1966,9,-0.24
1966-10-01,1966,10,-0.33
1966-11-01,1966,11,-0.2
1966-12-01,1966,12,-0.61
1967-01-01,1967,1,1.52
1967-02-01,1967,2,1.2
1967-03-01,1967,3,0.65
1967-04-01,1967,4,-0.12
1967-05-01,1967,5,-0.41
1967-06-01,1967,6,0.67
1967-07-01,1967,7,0.18
1967-08-01,1967,8,0.44
1967-09-01,1967,9,0.44
1967-10-01,1967,10,-0.17
1967-11-01,1967,11,-0.57
1967-12-01,1967,12,-0.78
1968-01-01,1968,1,0.47
1968-02-01,1968,2,0.77
1968-03-01,1968,3,-0.56
1968-04-01,1968,4,-0.31
1968-05-01,1968,5,1.21
1968-06-01,1968,6,1.27
1968-07-01,1968,7,0.77
1968-08-01,1968,8,-0.2
1968-09-01,1968,9,-0.36
1968-10-01,1968,10,-0.35
1968-11-01,1968,11,-0.44
1968-12-01,1968,12,0.13
1969-01-01,1969,1,-1.36
1969-02-01,1969,2,-0.85
1969-03-01,1969,3,-0.03
1969-04-01,1969,4,-0.9
1969-05-01,1969,5,-0.78
1969-06-01,1969,6,-0.24
1969-07-01,1969,7,-0.73
1969-08-01,1969,8,-0.71
1969-09-01,1969,9,-1.1
1969-10-01,1969,10,-1.35
1969-11-01,1969,11,-0.18
1969-12-01,1969,12,0.24
1970-01-01,1970,1,-1.26
1970-02-01,1970,2,-1.22
1970-03-01,1970,3,0.06
1970-04-01,1970,4,-0.56
1970-05-01,1970,5,0.04
1970-06-01,1970,6,1.02
1970-07-01,1970,7,-0.52
1970-08-01,1970,8,0.31
1970-09-01,1970,9,1.18
1970-10-01,1970,10,0.74
1970-11-01,1970,11,1.85
1970-12-01,1970,12,1.83
1971-01-01,1971,1,0.23
1971-02-01,1971,2,1.44
1971-03-01,1971,3,1.98
1971-04-01,1971,4,2.58
1971-05-01,1971,5,0.88
1971-06-01,1971,6,0.21
1971-07-01,1971,7,0.17
1971-08-01,1971,8,1.42
1971-09-01,1971,9,1.51
1971-10-01,1971,10,1.75
1971-11-01,1971,11,0.55
1971-12-01,1971,12,0.15
1972-01-01,1972,1,0.33
1972-02-01,1972,2,0.67
1972-03-01,1972,3,0.13
1972-04-01,1972,4,-0.46
1972-05-01,1972,5,-1.52
1972-06-01,1972,6,-1.68
1972-07-01,1972,7,-1.84
1972-08-01,1972,8,-1.12
1972-09-01,1972,9,-1.48
1972-10-01,1972,10,-1.13
1972-11-01,1972,11,-0.38
1972-12-01,1972,12,-1.47
1973-01-01,1973,1,-0.43
1973-02-01,1973,2,-1.47
1973-03-01,1973,3,-0.06
1973-04-01,1973,4,-0.37
1973-05-01,1973,5,0.25
1973-06-01,1973,6,1.22
1973-07-01,1973,7,0.63
1973-08-01,1973,8,1.18
1973-09-01,1973,9,1.27
1973-10-01,1973,10,0.85
1973-11-01,1973,11,2.85
1973-12-01,1973,12,1.76
1974-01-01,1974,1,2.16
1974-02-01,1974,2,1.49
1974-03-01,1974,3,2.1
1974-04-01,1974,4,1.27
1974-05-01,1974,5,1.24
1974-06-01,1974,6,0.14
1974-07-01,1974,7,1.23
1974-08-01,1974,8,0.56
1974-09-01,1974,9,1.16
1974-10-01,1974,10,0.72
1974-11-01,1974,11,-0.42
1974-12-01,1974,12,-0.14
1975-01-01,1975,1,-0.62
1975-02-01,1975,2,0.46
1975-03-01,1975,3,1.14
1975-04-01,1975,4,1.48
1975-05-01,1975,5,0.51
1975-06-01,1975,6,1.69
1975-07-01,1975,7,2.13
1975-08-01,1975,8,2.03
1975-09-01,1975,9,2.15
1975-10-01,1975,10,1.67
1975-11-01,1975,11,1.25
1975-12-01,1975,12,2.05
1976-01-01,1976,1,1.19
1976-02-01,1976,2,1.18
1976-03-01,1976,3,1.33
1976-04-01,1976,4,0.24
1976-05-01,1976,5,0.5
1976-06-01,1976,6,-0.16
1976-07-01,1976,7,-1.24
1976-08-01,1976,8,-1.46
1976-09-01,1976,9,-1.29
1976-10-01,1976,10,0.13
1976-11-01,1976,11,0.76
1976-12-01,1976,12,-0.48
1977-01-01,1977,1,-0.39
1977-02-01,1977,2,0.65
1977-03-01,1977,3,-1.2
1977-04-01,1977,4,-1.17
1977-05-01,1977,5,-1.18
1977-06-01,1977,6,-2.33
1977-07-01,1977,7,-1.45
1977-08-01,1977,8,-1.42
1977-09-01,1977,9,-0.95
1977-10-01,1977,10,-1.39
1977-11-01,1977,11,-1.56
1977-12-01,1977,12,-1.23
1978-01-01,1978,1,-0.48
1978-02-01,1978,2,-2.63
1978-03-01,1978,3,-0.82
1978-04-01,1978,4,-0.88
1978-05-01,1978,5,1.5
1978-06-01,1978,6,0.4
1978-07-01,1978,7,0.53
1978-08-01,1978,8,0.12
1978-09-01,1978,9,0.06
1978-10-01,1978,10,-0.76
1978-11-01,1978,11,-0.28
1978-12-01,1978,12,-0.21
1979-01-01,1979,1,-0.45
1979-02-01,1979,2,0.61
1979-03-01,1979,3,-0.49
1979-04-01,1979,4,-0.65
1979-05-01,1979,5,0.46
1979-06-01,1979,6,0.58
1979-07-01,1979,7,-0.76
1979-08-01,1979,8,-0.69
1979-09-01,1979,9,0.11
1979-10-01,1979,10,-0.37
1979-11-01,1979,11,-0.61
1979-12-01,1979,12,-0.9
1980-01-01,1980,1,0.28
1980-02-01,1980,2,-0.02
1980-03-01,1980,3,-1.06
1980-04-01,1980,4,-1.6
1980-05-01,1980,5,-0.35
1980-06-01,1980,6,-0.68
1980-07-01,1980,7,-0.14
1980-08-01,1980,8,-0.06
1980-09-01,1980,9,-0.54
1980-10-01,1980,10,-0.34
1980-11-01,1980,11,-0.47
1980-12-01,1980,12,-0.21
1981-01-01,1981,1,0.27
1981-02-01,1981,2,-0.47
1981-03-01,1981,3,-2.01
1981-04-01,1981,4,-0.6
1981-05-01,1981,5,0.82
1981-06-01,1981,6,1.28
1981-07-01,1981,7,0.87
1981-08-01,1981,8,0.4
1981-09-01,1981,9,0.52
1981-10-01,1981,10,-0.71
1981-11-01,1981,11,0.07
1981-12-01,1981,12,0.41
1982-01-01,1982,1,0.87
1982-02-01,1982,2,-0.03
1982-03-01,1982,3,0.05
1982-04-01,1982,4,-0.46
1982-05-01,1982,5,-0.74
1982-06-01,1982,6,-2.49
1982-07-01,1982,7,-1.89
1982-08-01,1982,8,-2.66
1982-09-01,1982,9,-2.12
1982-10-01,1982,10,-2.2
1982-11-01,1982,11,-3.25
1982-12-01,1982,12,-2.48
1983-01-01,1983,1,-3.36
1983-02-01,1983,2,-3.46
1983-03-01,1983,3,-3.25
1983-04-01,1983,4,-1.41
1983-05-01,1983,5,0.79
1983-06-01,1983,6,-0.58
1983-07-01,1983,7,-0.7
1983-08-01,1983,8,-0.37
1983-09-01,1983,9,0.91
1983-10-01,1983,10,0.34
1983-11-01,1983,11,-0.12
1983-12-01,1983,12,-0.17
1984-01-01,1984,1,-0.03
1984-02-01,1984,2,0.43
1984-03-01,1984,3,-0.85
1984-04-01,1984,4,0.39
1984-05-01,1984,5,-0.03
1984-06-01,1984,6,-1.22
1984-07-01,1984,7,0.12
1984-08-01,1984,8,0.1
1984-09-01,1984,9,0.17
1984-10-01,1984,10,-0.61
1984-11-01,1984,11,0.12
1984-12-01,1984,12,-0.24
1985-01-01,1985,1,-0.55
1985-02-01,1985,2,0.79
1985-03-01,1985,3,0.2
1985-04-01,1985,4,1.42
1985-05-01,1985,5,-0.15
1985-06-01,1985,6,-1.39
1985-07-01,1985,7,-0.2
1985-08-01,1985,8,0.66
1985-09-01,1985,9,0.0
1985-10-01,1985,10,-0.76
1985-11-01,1985,11,-0.35
1985-12-01,1985,12,0.12
1986-01-01,1986,1,0.82
1986-02-01,1986,2,-1.28
1986-03-01,1986,3,-0.09
1986-04-01,1986,4,0.11
1986-05-01,1986,5,-0.63
1986-06-01,1986,6,1.01
1986-07-01,1986,7,0.24
1986-08-01,1986,8,-0.85
1986-09-01,1986,9,-0.53
1986-10-01,1986,10,0.54
1986-11-01,1986,11,-1.57
1986-12-01,1986,12,-1.64
1987-01-01,1987,1,-0.75
1987-02-01,1987,2,-1.41
1987-03-01,1987,3,-2.03
1987-04-01,1987,4,-2.69
1987-05-01,1987,5,-2.12
1987-06-01,1987,6,-2.69
1987-07-01,1987,7,-1.82
1987-08-01,1987,8,-1.67
1987-09-01,1987,9,-1.13
1987-10-01,1987,10,-0.69
1987-11-01,1987,11,-0.07
1987-12-01,1987,12,-0.66
1988-01-01,1988,1,-0.31
1988-02-01,1988,2,-0.65
1988-03-01,1988,3,0.13
1988-04-01,1988,4,-0.03
1988-05-01,1988,5,1.09
1988-06-01,1988,6,-0.2
1988-07-01,1988,7,1.17
1988-08-01,1988,8,1.36
1988-09-01,1988,9,1.92
1988-10-01,1988,10,1.35
1988-11-01,1988,11,1.92
1988-12-01,1988,12,1.09
1989-01-01,1989,1,1.31
1989-02-01,1989,2,0.8
1989-03-01,1989,3,0.59
1989-04-01,1989,4,2.18
1989-05-01,1989,5,1.45
1989-06-01,1989,6,0.81
1989-07-01,1989,7,0.95
1989-08-01,1989,8,-0.82
1989-09-01,1989,9,0.52
1989-10-01,1989,10,0.61
1989-11-01,1989,11,-0.38
1989-12-01,1989,12,-0.62
1990-01-01,1990,1,-0.21
1990-02-01,1990,2,-1.79
1990-03-01,1990,3,-1.09
1990-04-01,1990,4,-0.01
1990-05-01,1990,5,1.41
1990-06-01,1990,6,-0.07
1990-07-01,1990,7,0.57
1990-08-01,1990,8,-0.71
1990-09-01,1990,9,-0.78
1990-10-01,1990,10,-0.17
1990-11-01,1990,11,-0.68
1990-12-01,1990,12,-0.38
1991-01-01,1991,1,0.45
1991-02-01,1991,2,-0.06
1991-03-01,1991,3,-1.35
1991-04-01,1991,4,-1.55
1991-05-01,1991,5,-1.74
1991-06-01,1991,6,-0.79
1991-07-01,1991,7,-0.07
1991-08-01,1991,8,-1.07
1991-09-01,1991,9,-1.64
1991-10-01,1991,10,-1.55
1991-11-01,1991,11,-0.77
1991-12-01,1991,12,-2.02
1992-01-01,1992,1,-2.85
1992-02-01,1992,2,-1.05
1992-03-01,1992,3,-2.85
1992-04-01,1992,4,-2.06
1992-05-01,1992,5,0.06
1992-06-01,1992,6,-1.82
1992-07-01,1992,7,-0.63
1992-08-01,1992,8,-0.01
1992-09-01,1992,9,0.06
1992-10-01,1992,10,-2.03
1992-11-01,1992,11,-0.84
1992-12-01,1992,12,-0.71
1993-01-01,1993,1,-0.93
1993-02-01,1993,2,-0.96
1993-03-01,1993,3,-1.13
1993-04-01,1993,4,-2.29
1993-05-01,1993,5,-0.59
1993-06-01,1993,6,-2.18
1993-07-01,1993,7,-1.06
1993-08-01,1993,8,-1.73
1993-09-01,1993,9,-0.78
1993-10-01,1993,10,-1.57
1993-11-01,1993,11,-0.13
1993-12-01,1993,12,0.07
1994-01-01,1994,1,-0.25
1994-02-01,1994,2,-0.06
1994-03-01,1994,3,-1.35
1994-04-01,1994,4,-2.63
1994-05-01,1994,5,-1.26
1994-06-01,1994,6,-1.46
1994-07-01,1994,7,-1.7
1994-08-01,1994,8,-2.03
1994-09-01,1994,9,-1.7
1994-10-01,1994,10,-1.58
1994-11-01,1994,11,-0.81
1994-12-01,1994,12,-1.41
1995-01-01,1995,1,-0.51
1995-02-01,1995,2,-0.35
1995-03-01,1995,3,0.24
1995-04-01,1995,4,-1.72
1995-05-01,1995,5,-0.91
1995-06-01,1995,6,-0.31
1995-07-01,1995,7,0.44
1995-08-01,1995,8,-0.11
1995-09-01,1995,9,0.28
1995-10-01,1995,10,-0.34
1995-11-01,1995,11,-0.02
1995-12-01,1995,12,-0.72
1996-01-01,1996,1,0.82
1996-02-01,1996,2,-0.02
1996-03-01,1996,3,0.53
1996-04-01,1996,4,0.91
1996-05-01,1996,5,0.46
1996-06-01,1996,6,1.6
1996-07-01,1996,7,0.7
1996-08-01,1996,8,0.33
1996-09-01,1996,9,0.66
1996-10-01,1996,10,0.26
1996-11-01,1996,11,-0.21
1996-12-01,1996,12,0.71
1997-01-01,1997,1,0.29
1997-02-01,1997,2,1.21
1997-03-01,1997,3,-1.09
1997-04-01,1997,4,-1.55
1997-05-01,1997,5,-2.41
1997-06-01,1997,6,-3.02
1997-07-01,1997,7,-0.91
1997-08-01,1997,8,-2.31
1997-09-01,1997,9,-1.55
1997-10-01,1997,10,-1.69
1997-11-01,1997,11,-1.31
1997-12-01,1997,12,-1.12
1998-01-01,1998,1,-2.53
1998-02-01,1998,2,-1.97
1998-03-01,1998,3,-3.31
1998-04-01,1998,4,-2.8
1998-05-01,1998,5,0.17
1998-06-01,1998,6,1.05
1998-07-01,1998,7,1.49
1998-08-01,1998,8,0.83
1998-09-01,1998,9,1.04
1998-10-01,1998,10,1.01
1998-11-01,1998,11,1.01
1998-12-01,1998,12,1.32
1999-01-01,1999,1,1.58
1999-02-01,1999,2,0.58
1999-03-01,1999,3,0.78
1999-04-01,1999,4,2.1
1999-05-01,1999,5,0.44
1999-06-01,1999,6,0.0
1999-07-01,1999,7,0.52
1999-08-01,1999,8,-0.03
1999-09-01,1999,9,-0.07
1999-10-01,1999,10,0.95
1999-11-01,1999,11,1.22
1999-12-01,1999,12,1.37
2000-01-01,2000,1,0.47
2000-02-01,2000,2,1.24
2000-03-01,2000,3,0.88
2000-04-01,2000,4,1.76
2000-05-01,2000,5,0.42
2000-06-01,2000,6,-0.87
2000-07-01,2000,7,-0.34
2000-08-01,2000,8,0.48
2000-09-01,2000,9,0.97
2000-10-01,2000,10,0.87
2000-11-01,2000,11,2.02
2000-12-01,2000,12,0.77
2001-01-01,2001,1,0.78
2001-02-01,2001,2,1.0
2001-03-01,2001,3,0.46
2001-04-01,2001,4,-0.18
2001-05-01,2001,5,-0.84
2001-06-01,2001,6,-0.19
2001-07-01,2001,7,-0.27
2001-08-01,2001,8,-1.01
2001-09-01,2001,9,0.11
2001-10-01,2001,10,-0.38
2001-11-01,2001,11,0.64
2001-12-01,2001,12,-1.06
2002-01-01,2002,1,0.2
2002-02-01,2002,2,0.64
2002-03-01,2002,3,-0.81
2002-04-01,2002,4,-0.48
2002-05-01,2002,5,-1.54
2002-06-01,2002,6,-1.02
2002-07-01,2002,7,-0.7
2002-08-01,2002,8,-1.62
2002-09-01,2002,9,-0.66
2002-10-01,2002,10,-0.79
2002-11-01,2002,11,-0.6
2002-12-01,2002,12,-1.3
2003-01-01,2003,1,-0.3
2003-02-01,2003,2,-0.9
2003-03-01,2003,3,-0.91
2003-04-01,2003,4,-0.48
2003-05-01,2003,5,-0.85
2003-06-01,2003,6,-1.75
2003-07-01,2003,7,0.26
2003-08-01,2003,8,-0.35
2003-09-01,2003,9,-0.18
2003-10-01,2003,10,-0.26
2003-11-01,2003,11,-0.32
2003-12-01,2003,12,0.92
2004-01-01,2004,1,-1.31
2004-02-01,2004,2,0.77
2004-03-01,2004,3,-0.11
2004-04-01,2004,4,-1.91
2004-05-01,2004,5,1.22
2004-06-01,2004,6,-1.91
2004-07-01,2004,7,-0.72
2004-08-01,2004,8,-0.9
2004-09-01,2004,9,-0.31
2004-10-01,2004,10,-0.42
2004-11-01,2004,11,-1.06
2004-12-01,2004,12,-0.94
2005-01-01,2005,1,0.2
2005-02-01,2005,2,-2.99
2005-03-01,2005,3,-0.26
2005-04-01,2005,4,-1.22
2005-05-01,2005,5,-1.46
2005-06-01,2005,6,0.11
2005-07-01,2005,7,0.06
2005-08-01,2005,8,-0.97
2005-09-01,2005,9,0.34
2005-10-01,2005,10,1.12
2005-11-01,2005,11,-0.42
2005-12-01,2005,12,0.01
2006-01-01,2006,1,1.29
2006-02-01,2006,2,-0.12
2006-03-01,2006,3,1.32
2006-04-01,2006,4,1.17
2006-05-01,2006,5,-0.96
2006-06-01,2006,6,-0.98
2006-07-01,2006,7,-0.9
2006-08-01,2006,8,-1.75
2006-09-01,2006,9,-0.6
