date,year,month,southern_oscillation_index
1880-01-01,1880,1,1.14
1880-02-01,1880,2,0.7
1880-03-01,1880,3,1.43
1880-04-01,1880,4,0.79
1880-05-01,1880,5,1.22
1880-06-01,1880,6,0.97
1880-07-01,1880,7,0.21
1880-08-01,1880,8,1.26
1880-09-01,1880,9,0.73
1880-10-01,1880,10,0.56
1880-11-01,1880,11,0.74
1880-12-01,1880,12,-0.33
1881-01-01,1881,1,-0.84
1881-02-01,1881,2,-0.67
1881-03-01,1881,3,0.02
1881-04-01,1881,4,0.43
1881-05-01,1881,5,-0.56
1881-06-01,1881,6,-0.78
1881-07-01,1881,7,-0.51
1881-08-01,1881,8,-1.39
1881-09-01,1881,9,-1.35
1881-10-01,1881,10,-2.6
1881-11-01,1881,11,0.49
1881-12-01,1881,12,0.7
1882-01-01,1882,1,-0.76
1882-02-01,1882,2,-0.26
1882-03-01,1882,3,0.41
1882-04-01,1882,4,-0.06
1882-05-01,1882,5,0.35
1882-06-01,1882,6,-1.75
1882-07-01,1882,7,-2.13
1882-08-01,1882,8,-2.74
1882-09-01,1882,9,-1.44
1882-10-01,1882,10,-0.09
1882-11-01,1882,11,0.21
1882-12-01,1882,12,1.04
1883-01-01,1883,1,0.48
1883-02-01,1883,2,-0.95
1883-03-01,1883,3,-2.94
1883-04-01,1883,4,1.63
1883-05-01,1883,5,1.47
1883-06-01,1883,6,0.26
1883-07-01,1883,7,-1.01
1883-08-01,1883,8,0.06
1883-09-01,1883,9,-0.81
1883-10-01,1883,10,0.36
1883-11-01,1883,11,0.19
1883-12-01,1883,12,-1.77
1884-01-01,1884,1,-1.4
1884-02-01,1884,2,-0.61
1884-03-01,1884,3,0.88
1884-04-01,1884,4,-1.6
1884-05-01,1884,5,0.18
1884-06-01,1884,6,0.98
1884-07-01,1884,7,-0.28
1884-08-01,1884,8,-0.63
1884-09-01,1884,9,-0.7
1884-10-01,1884,10,0.38
1884-11-01,1884,11,-0.26
1884-12-01,1884,12,-1.5
1885-01-01,1885,1,-1.78
1885-02-01,1885,2,0.04
1885-03-01,1885,3,0.39
1885-04-01,1885,4,0.16
1885-05-01,1885,5,0.01
1885-06-01,1885,6,-1.91
1885-07-01,1885,7,-0.45
1885-08-01,1885,8,-1.13
1885-09-01,1885,9,-0.43
1885-10-01,1885,10,-1.92
1885-11-01,1885,11,-1.55
1885-12-01,1885,12,0.47
1886-01-01,1886,1,-0.22
1886-02-01,1886,2,0.0
1886-03-01,1886,3,0.15
1886-04-01,1886,4,0.49
1886-05-01,1886,5,0.54
1886-06-01,1886,6,0.43
1886-07-01,1886,7,0.74
1886-08-01,1886,8,1.33
1886-09-01,1886,9,1.28
1886-10-01,1886,10,1.3
1886-11-01,1886,11,0.88
1886-12-01,1886,12,1.51
1887-01-01,1887,1,1.2
1887-02-01,1887,2,0.95
1887-03-01,1887,3,0.95
1887-04-01,1887,4,1.0
1887-05-01,1887,5,-0.58
1887-06-01,1887,6,0.46
1887-07-01,1887,7,0.53
1887-08-01,1887,8,0.33
1887-09-01,1887,9,0.45
1887-10-01,1887,10,0.51
1887-11-01,1887,11,-0.63
1887-12-01,1887,12,0.45
1888-01-01,1888,1,-0.32
1888-02-01,1888,2,-0.33
1888-03-01,1888,3,-1.47
1888-04-01,1888,4,-2.8
1888-05-01,1888,5,-1.12
1888-06-01,1888,6,-2.16
1888-07-01,1888,7,-1.64
1888-08-01,1888,8,-1.09
1888-09-01,1888,9,-0.94
1888-10-01,1888,10,-1.61
1888-11-01,1888,11,-1.37
1888-12-01,1888,12,-0.4
1889-01-01,1889,1,-2.84
1889-02-01,1889,2,-0.21
1889-03-01,1889,3,-3.2
1889-04-01,1889,4,0.07
1889-05-01,1889,5,-0.19
1889-06-01,1889,6,2.49
1889-07-01,1889,7,0.18
1889-08-01,1889,8,0.05
1889-09-01,1889,9,1.05
1889-10-01,1889,10,0.29
1889-11-01,1889,11,1.92
1889-12-01,1889,12,2.35
1890-01-01,1890,1,2.16
1890-02-01,1890,2,1.03
1890-03-01,1890,3,1.43
1890-04-01,1890,4,0.75
1890-05-01,1890,5,0.35
1890-06-01,1890,6,0.45
1890-07-01,1890,7,-0.23
1890-08-01,1890,8,-0.42
1890-09-01,1890,9,0.88
1890-10-01,1890,10,0.17
1890-11-01,1890,11,0.16
1890-12-01,1890,12,-0.04
1891-01-01,1891,1,1.56
1891-02-01,1891,2,-0.49
1891-03-01,1891,3,-1.22
1891-04-01,1891,4,0.7
1891-05-01,1891,5,0.28
1891-06-01,1891,6,-0.28
1891-07-01,1891,7,-0.58
1891-08-01,1891,8,-1.2
1891-09-01,1891,9,-1.08
1891-10-01,1891,10,0.05
1891-11-01,1891,11,-0.49
1891-12-01,1891,12,-0.62
1892-01-01,1892,1,0.2
1892-02-01,1892,2,-1.13
1892-03-01,1892,3,1.09
1892-04-01,1892,4,0.96
1892-05-01,1892,5,1.37
1892-06-01,1892,6,2.25
1892-07-01,1892,7,0.78
1892-08-01,1892,8,0.48
1892-09-01,1892,9,0.01
1892-10-01,1892,10,0.85
1892-11-01,1892,11,-0.88
1892-12-01,1892,12,0.3
1893-01-01,1893,1,0.91
1893-02-01,1893,2,0.65
1893-03-01,1893,3,0.32
1893-04-01,1893,4,1.44
1893-05-01,1893,5,1.76
1893-06-01,1893,6,2.15
1893-07-01,1893,7,1.88
1893-08-01,1893,8,0.6
1893-09-01,1893,9,1.21
1893-10-01,1893,10,0.63
1893-11-01,1893,11,0.83
1893-12-01,1893,12,-0.5
1894-01-01,1894,1,2.15
1894-02-01,1894,2,0.97
1894-03-01,1894,3,0.82
1894-04-01,1894,4,1.1
